participant_id,condition
1,control
2,control
3,control
4,control
5,control
6,control
7,control
8,control
9,control
10,control
11,control
12,control
13,control
14,control
15,control
16,control
17,control
18,control
19,control
20,control
21,clarification
22,clarification
23,clarification
24,clarification
25,clarification
26,clarification
27,clarification
28,clarification
29,clarification
30,clarification
31,clarification
32,clarification
33,clarification
34,clarification
35,clarification
36,clarification
37,clarification
38,clarification
39,clarification
40,clarification
41,suggestion
42,suggestion
43,suggestion
44,suggestion
45,suggestion
46,suggestion
47,suggestion
48,suggestion
49,suggestion
50,suggestion
51,suggestion
52,suggestion
53,suggestion
54,suggestion
55,suggestion
56,suggestion
57,suggestion
58,suggestion
59,suggestion
60,suggestion
61,disclosure
62,disclosure
63,disclosure
64,disclosure
65,disclosure
66,disclosure
67,disclosure
68,disclosure
69,disclosure
70,disclosure
71,disclosure
72,disclosure
73,disclosure
74,disclosure
75,disclosure
76,disclosure
77,disclosure
78,disclosure
79,disclosure
80,disclosure
